sample_id,x,y
0,475,50
1,500,50
2,525,50
3,650,50
4,425,75
5,450,75
6,475,75
7,500,75
8,525,75
9,650,75
10,675,75
11,325,100
12,350,100
13,425,100
14,450,100
15,475,100
16,500,100
17,650,100
18,675,100
19,325,125
20,350,125
21,375,125
22,400,125
23,425,125
24,450,125
25,475,125
26,500,125
27,525,125
28,650,125
29,675,125
30,700,125
31,275,150
32,300,150
33,325,150
34,350,150
35,375,150
36,400,150
37,425,150
38,450,150
39,475,150
40,500,150
41,525,150
42,550,150
43,575,150
44,625,150
45,650,150
46,675,150
47,700,150
48,275,175
49,300,175
50,325,175
51,350,175
52,375,175
53,400,175
54,425,175
55,450,175
56,475,175
57,500,175
58,525,175
59,550,175
60,575,175
61,600,175
62,625,175
63,650,175
64,675,175
65,700,175
66,275,200
67,300,200
68,325,200
69,350,200
70,375,200
71,400,200
72,425,200
73,450,200
74,475,200
75,500,200
76,525,200
77,550,200
78,575,200
79,600,200
80,625,200
81,650,200
82,675,200
83,700,200
84,725,200
85,225,225
86,250,225
87,275,225
88,300,225
89,325,225
90,350,225
91,375,225
92,400,225
93,425,225
94,450,225
95,475,225
96,500,225
97,525,225
98,550,225
99,575,225
100,600,225
101,625,225
102,650,225
103,675,225
104,700,225
105,725,225
106,750,225
107,175,250
108,200,250
109,225,250
110,250,250
111,275,250
112,300,250
113,325,250
114,350,250
115,375,250
116,400,250
117,425,250
118,450,250
119,475,250
120,500,250
121,525,250
122,550,250
123,575,250
124,600,250
125,625,250
126,650,250
127,675,250
128,700,250
129,725,250
130,750,250
131,125,275
132,150,275
133,175,275
134,200,275
135,225,275
136,250,275
137,275,275
138,300,275
139,325,275
140,350,275
141,375,275
142,400,275
143,425,275
144,450,275
145,475,275
146,500,275
147,525,275
148,550,275
149,575,275
150,600,275
151,625,275
152,650,275
153,675,275
154,700,275
155,725,275
156,750,275
157,775,275
158,125,300
159,150,300
160,175,300
161,200,300
162,225,300
163,250,300
164,275,300
165,300,300
166,325,300
167,350,300
168,375,300
169,400,300
170,425,300
171,450,300
172,475,300
173,500,300
174,525,300
175,550,300
176,575,300
177,600,300
178,625,300
179,650,300
180,675,300
181,700,300
182,725,300
183,750,300
184,775,300
185,800,300
186,125,325
187,150,325
188,175,325
189,200,325
190,225,325
191,250,325
192,275,325
193,300,325
194,325,325
195,350,325
196,375,325
197,400,325
198,425,325
199,450,325
200,475,325
201,500,325
202,525,325
203,550,325
204,575,325
205,600,325
206,625,325
207,650,325
208,675,325
209,700,325
210,725,325
211,750,325
212,775,325
213,800,325
214,125,350
215,150,350
216,175,350
217,200,350
218,225,350
219,250,350
220,275,350
221,300,350
222,325,350
223,350,350
224,375,350
225,400,350
226,425,350
227,450,350
228,475,350
229,500,350
230,525,350
231,550,350
232,575,350
233,600,350
234,625,350
235,650,350
236,675,350
237,700,350
238,725,350
239,750,350
240,775,350
241,800,350
242,825,350
243,150,375
244,175,375
245,200,375
246,225,375
247,250,375
248,275,375
249,300,375
250,325,375
251,350,375
252,375,375
253,400,375
254,425,375
255,450,375
256,475,375
257,500,375
258,525,375
259,550,375
260,575,375
261,600,375
262,625,375
263,650,375
264,675,375
265,700,375
266,725,375
267,750,375
268,775,375
269,800,375
270,825,375
271,150,400
272,175,400
273,200,400
274,225,400
275,250,400
276,275,400
277,300,400
278,325,400
279,350,400
280,375,400
281,400,400
282,425,400
283,450,400
284,475,400
285,500,400
286,525,400
287,550,400
288,575,400
289,600,400
290,625,400
291,650,400
292,675,400
293,700,400
294,725,400
295,750,400
296,775,400
297,800,400
298,825,400
299,175,425
300,200,425
301,225,425
302,250,425
303,275,425
304,300,425
305,325,425
306,350,425
307,375,425
308,400,425
309,425,425
310,450,425
311,475,425
312,500,425
313,525,425
314,550,425
315,575,425
316,600,425
317,625,425
318,650,425
319,675,425
320,700,425
321,725,425
322,750,425
323,775,425
324,800,425
325,175,450
326,200,450
327,225,450
328,250,450
329,275,450
330,300,450
331,325,450
332,350,450
333,375,450
334,500,450
335,525,450
336,550,450
337,575,450
338,600,450
339,625,450
340,650,450
341,675,450
342,700,450
343,725,450
344,750,450
345,775,450
346,800,450
347,200,475
348,225,475
349,250,475
350,275,475
351,300,475
352,525,475
353,575,475
354,600,475
355,625,475
356,650,475
357,675,475
358,700,475
359,725,475
360,750,475
361,775,475
362,800,475
363,175,500
364,200,500
365,225,500
366,250,500
367,550,500
368,575,500
369,600,500
370,625,500
371,650,500
372,675,500
373,700,500
374,725,500
375,750,500
376,775,500
377,200,525
378,550,525
379,600,525
380,625,525
381,650,525
382,675,525
383,700,525
384,725,525
385,750,525
386,600,550
387,625,550
388,650,550
389,675,550
390,700,550
391,725,550
392,750,550
393,625,575
394,650,575
395,675,575
396,700,575
397,725,575
398,675,650
399,700,650
400,675,675
401,700,675
